simp,simp_cp,trad,trad_cp,relation_type,simp_hits_norm,trad_hits_norm
鵉,,鸞,,,26,4211
龯,,鉞,,,26,1653
圗,,圖,,,26,62803
㠶,,帆,,,25,2673
䢖,,建,,,25,94328
边,(U+8FB9),邊,(U+908A),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,25,143755
暦,,曆,,,25,14837
夲,,本,,,25,633202
峦,(U+5CE6),巒,(U+5DD2),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,24,2688
纎,,纖,,,24,7509
䋲,,繩,,,23,13932
显,(U+663E),顯,(U+986F),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,23,232436
旣,,既,,,23,218649
㓻,,剛,,,23,99489
抜,,拔,,,23,29631
夹,(U+5939),夾,(U+593E),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,22,12383
鍳,,鑒,,,22,13434
荆,(U+8346),荊,(U+834A),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,22,19473
陕,(U+9655),陝,(U+965D),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,21,5430
黙,,默,,,21,34679
巩,(U+5DE9),鞏,(U+978F),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,21,1638
争,(U+4E89),爭,(U+722D),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,21,29413
鱻,,鮮,,,20,10644
貭,U+8CAD,質,(U+8CEA),,20,37505
隽,(U+96BD),雋,(U+96CB),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,20,693
关,(U+5173),關,(U+95DC),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,20,61893
𥙷,,補,,,20,80065
莱,(U+83B1),萊,(U+840A),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,19,2658
亀,,龜,,,18,16234
斉,,齊,,,18,81289
𠕅,U-00020545,再,U+518D,,18,45270
湾,(U+6E7E),灣,(U+7063),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,17,2292
盗,(U+76D7),盜,(U+76DC),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,17,29203
褔,,福,,,17,150088
𨔛,,遞,,,17,4801
涤,(U+6DA4),滌,(U+6ECC),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,17,3160
鑚,,鑽,,,17,5008
勧,,勸,,,16,56372
岭,(U+5CAD),嶺,(U+5DBA),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,16,18147
跃,(U+8DC3),躍,(U+8E8D),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,16,10441
毡,(U+6BE1),氈,(U+6C08),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,16,1803
淸,,清,,,16,337933
㕑,,廚,,,16,1945
㬎,,顯,,,16,232436
垒,(U+5792),壘,(U+58D8),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,16,3028
壮,(U+58EE),壯,(U+58EF),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,16,9982
囯,,國,,,15,330768
潙,,溈,,,15,13866
瓉,,瓚,,,15,1743
单,(U+5355),單,(U+55AE),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,15,32644
犹,(U+72B9),猶,(U+7336),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,15,138764
旜,,旃,,,15,13049
叀,,專,,,15,37957
删,(U+5220),刪,(U+522A),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,15,6759
㽳,U+3F73,瘀,U+7600,,14,909
䑕,,鼠,,,14,6392
㩀,,據,,,14,82599
𠓆,,兢,,,14,1740
